,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
1946,06080,Marie,Marie,à Marie,de Marie,marie,MARIE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06420,06420,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,105,1464,15,7.0,1054,341.0,2089.0,44.032,7.135,44.035,7.157,7,Rural à habitat très dispersé,0.0,communes non pôle,Mariols,https://fr.wikipedia.org/wiki/fr:Marie (Alpes-Maritimes),https://villedereve.fr/ville/06080-marie
1947,06081,Le Mas,Mas,au Mas,du Mas,le-mas,LE MAS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0611,Grasse-1,200039857,CA du Pays de Grasse,23,Nice,06910,06910,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,99,3240,32,3.0,1062,440.0,1689.0,43.843,6.858,43.837,6.859,7,Rural à habitat très dispersé,0.0,communes non pôle,Massois,https://fr.wikipedia.org/wiki/fr:Le Mas,https://villedereve.fr/ville/06081-le-mas
1948,06082,Massoins,Massoins,à Massoins,de Massoins,massoins,MASSOINS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06710,06710,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,115,1189,12,10.0,660,186.0,1789.0,43.943,7.126,43.948,7.124,6,Rural à habitat dispersé,0.0,communes non pôle,Massoinques,https://fr.wikipedia.org/wiki/fr:Massoins,https://villedereve.fr/ville/06082-massoins
1949,06083,Menton,Menton,à Menton,de Menton,menton,MENTON,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0614,Menton,240600551,CA de la Riviera Française,23,Nice,06500,"06502, 06504, 06507, 06503, 06500, 06501, 06506",09314,06083,06501,Menton-Monaco (partie française),5.0,UNITE URBAINE,C,30412,1422,14,2139.0,175,0.0,774.0,43.776,7.503,43.791,7.494,2,Centres urbains intermédiaires,3.0,centres structurants d'équipements et de services,Mentonnais ou Mentonasques,https://fr.wikipedia.org/wiki/fr:Menton (Alpes-Maritimes),https://villedereve.fr/ville/06083-menton
1950,06084,Mouans-Sartoux,Mouans-Sartoux,à Mouans-Sartoux,de Mouans-Sartoux,mouans-sartoux,MOUANS-SARTOUX,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0612,Grasse-2,200039857,CA du Pays de Grasse,23,Nice,06370,"06370, 06371, 06372",09304,06029,06701,Nice,7.0,UNITE URBAINE,B,10531,1262,13,834.0,164,40.0,321.0,43.62,6.97,43.618,6.965,2,Centres urbains intermédiaires,3.0,centres structurants d'équipements et de services,Mouansois,https://fr.wikipedia.org/wiki/fr:Mouans-Sartoux,https://villedereve.fr/ville/06084-mouans-sartoux
1951,06085,Mougins,Mougins,à Mougins,de Mougins,mougins,MOUGINS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0609,Le Cannet,200039915,CA Cannes Pays de Lérins,23,Nice,06250,"06255, 06250, 06254, 06253, 06252, 06251",09304,06029,06701,Nice,7.0,UNITE URBAINE,B,19677,2601,26,757.0,156,32.0,269.0,43.6,6.994,43.596,7.001,4,Ceintures urbaines,3.0,centres structurants d'équipements et de services,Mouginois,https://fr.wikipedia.org/wiki/fr:Mougins,https://villedereve.fr/ville/06085-mougins
1952,06086,Moulinet,Moulinet,à Moulinet,de Moulinet,moulinet,MOULINET,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0610,Contes,240600551,CA de la Riviera Française,23,Nice,06380,06380,09314,06083,06000,,0.0,HORS UNITE URBAINE,H,253,4099,41,6.0,1299,516.0,2080.0,43.94,7.413,43.954,7.414,6,Rural à habitat dispersé,0.0,communes non pôle,Moulinois,https://fr.wikipedia.org/wiki/fr:Moulinet (Alpes-Maritimes),https://villedereve.fr/ville/06086-moulinet
1953,06087,Les Mujouls,Mujouls,aux Mujouls,des Mujouls,les-mujouls,LES MUJOULS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0611,Grasse-1,200039857,CA du Pays de Grasse,23,Nice,06910,06910,09304,06029,06000,,0.0,HORS UNITE URBAINE,H,40,1454,15,3.0,810,518.0,1416.0,43.884,6.862,43.872,6.859,7,Rural à habitat très dispersé,0.0,communes non pôle,Mujoulois,https://fr.wikipedia.org/wiki/fr:Les Mujouls,https://villedereve.fr/ville/06087-les-mujouls
1954,06088,Nice,Nice,à Nice,de Nice,nice,NICE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0699,Nice,200030195,Métropole Nice Côte d'Azur,23,Nice,06000,"06005, 06008, 06106, 06285, 06175, 06041, 06046, 06002, 06007, 06082, 06101, 06021, 06302, 06009, 06058, 06182, 06040, 06056, 06359, 06012, 06033, 06036, 06042, 06039, 06281, 06001, 06202, 06205, 06304, 06034, 06081, 06296, 06306, 06010, 06050, 06293, 06073, 06189, 06284, 06305, 06026, 06180, 06290, 06286, 06357, 06054, 06206, 06282, 06289, 06299, 06301, 06309, 06364, 06083, 06105, 06203, 06016, 06049, 06201, 06295, 06188, 06353, 06011, 06045, 06172, 06000, 06102, 06666, 06100, 06200, 06300, 06291, 06037, 06047, 06048, 06103, 06204, 06303, 06003, 06004, 06006, 06181, 06358, 06013, 06107, 06108",09315,06088,06701,Nice,7.0,UNITE URBAINE,C,348085,7391,74,4710.0,115,0.0,520.0,43.696,7.272,43.712,7.238,1,Grands centres urbains,4.0,centres majeurs d'équipements et de services,Niçois,https://fr.wikipedia.org/wiki/fr:Nice,https://villedereve.fr/ville/06088-nice
1955,06089,Opio,Opio,à Opio,d'Opio,opio,OPIO,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0625,Valbonne,240600585,CA de Sophia Antipolis,23,Nice,06650,06650,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,2393,931,9,257.0,250,154.0,361.0,43.669,6.982,43.658,7.009,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Upians[Note 1] ou Opidiens,https://fr.wikipedia.org/wiki/fr:Opio,https://villedereve.fr/ville/06089-opio
